specialite_1,specialite_2,of,pct_multi,stag_mean_tam
Economie,"Mines et carrières, génie civil, topographie",1,0.0033581838941500438,0.0
"Informatique, traitement de l'information, réseaux de transmission des données",Physique-chimie,1,0.0033581838941500438,0.0
"Energie, génie climatique","Mathématiques, statistiques",1,0.0033581838941500438,0.0
Protection et développement du patrimoine,Spécialités concernant plusieurs capacités,1,0.0033581838941500438,0.0
"Nettoyage, assainissement, protection de l'environnement","Vie familiale, vie sociale et autres formations au développement personnel",1,0.0033581838941500438,0.0
"Finances, banque, assurances",Sciences de la vie,1,0.0033581838941500438,0.0
"Nettoyage, assainissement, protection de l'environnement",Physique-chimie,1,0.0033581838941500438,0.0
Autres...,Histoire,1,0.0033581838941500438,0.0
"Langues vivantes, civilisations étrangères et régionales",Sciences naturelles (Biologie-Géologie),1,0.0033581838941500438,0.0
Economie,Technologies de commandes des transformations industrielles,1,0.0033581838941500438,0.0
Géographie,Journalisme et communication,1,0.0033581838941500438,0.0
Géographie,"Techniques de l'image et du son, métiers connexes du spectacle",1,0.0033581838941500438,0.0
"Droit, sciences politiques",Sciences de la vie,1,0.0033581838941500438,0.0
"Musique, arts du spectacle",Spécialités pluriscientifiques,1,0.0033581838941500438,0.0
"Nettoyage, assainissement, protection de l'environnement","Spécialités plutitechnologiques, mécanique-électricité",1,0.0033581838941500438,0.0
"Energie, génie climatique",Pratiques sportives,1,0.0033581838941500438,0.0
"Enseignement, formation",Protection et développement du patrimoine,1,0.0033581838941500438,0.0
Sciences naturelles (Biologie-Géologie),Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,0.0
"Energie, génie climatique",Sciences de la vie,1,0.0033581838941500438,0.0
Bâtiment: construction et couverture,Géographie,1,0.0033581838941500438,0.0
Géographie,"Mines et carrières, génie civil, topographie",1,0.0033581838941500438,0.0
Economie,Spécialités littéraires et artistiques plurivalentes,1,0.0033581838941500438,0.0
"Accueil, hôtellerie, tourisme",Technologies industrielles fondamentales,1,0.0033581838941500438,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Jeux et activités spécifiques de loisirs,1,0.0033581838941500438,0.0
"Electricité, électronique (non compris automatisme et productique)",Spécialités militaires,1,0.0033581838941500438,0.0
"Chimie-biologie, biochimie",Sciences de la terre,1,0.0033581838941500438,0.0
Physique-chimie,Pratiques sportives,1,0.0033581838941500438,0.0
Bâtiment: construction et couverture,Physique-chimie,1,0.0033581838941500438,0.0
Bâtiment: construction et couverture,Sciences naturelles (Biologie-Géologie),1,0.0033581838941500438,0.0
"Mathématiques, statistiques","Matériaux de construction, verre, céramique",1,0.0033581838941500438,0.0
Arts plastiques,"Plasturgie, matériaux composites",1,0.0033581838941500438,0.0
"Chimie-biologie, biochimie",Spécialités pluritechnologiques des transformations,1,0.0033581838941500438,0.0
Arts plastiques,"Mathématiques, statistiques",1,0.0033581838941500438,0.0
Arts plastiques,Physique,1,0.0033581838941500438,0.0
"Finances, banque, assurances","Techniques de l'image et du son, métiers connexes du spectacle",1,0.0033581838941500438,0.0
Application des droits et statuts des personnes,Spécialités plurivalentes des services,1,0.0033581838941500438,0.0
"Mécanique générale et de précision, usinage",Physique,1,0.0033581838941500438,0.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",Physique,1,0.0033581838941500438,0.0
Economie,Physique-chimie,1,0.0033581838941500438,0.0
"Aménagement du territoire, développement, urbanisme",Autres disciplines artistiques et spécialités artistiques plurivalentes,1,0.0033581838941500438,0.0
"Finances, banque, assurances",Pratiques sportives,1,0.0033581838941500438,0.0
"Musique, arts du spectacle",Sciences naturelles (Biologie-Géologie),1,0.0033581838941500438,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Physique,1,0.0033581838941500438,0.0
"Matériaux de construction, verre, céramique",Psychologie,1,0.0033581838941500438,0.0
Arts plastiques,Economie,1,0.0033581838941500438,0.0
"Habillement (y compris mode, couture)",Langues et civilisations anciennes,1,0.0033581838941500438,0.0
Arts plastiques,"Sciences sociales (y compris démographie, anthropologie)",1,0.0033581838941500438,0.0
Technologies industrielles fondamentales,"Vie familiale, vie sociale et autres formations au développement personnel",1,0.0033581838941500438,0.0
"Animation culturelle, sportive et de loisirs",Physique-chimie,1,0.0033581838941500438,0.0
Techniques de l'imprimerie et de l'édition,Textile,1,0.0033581838941500438,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Electricité, électronique (non compris automatisme et productique)",1,0.0033581838941500438,0.0
Développement des capacités comportementales et relationnelles,Physique,1,0.0033581838941500438,0.0
Développement des capacités individuelles d'organisation,Physique,1,0.0033581838941500438,0.0
"Chimie-biologie, biochimie",Spécialités littéraires et artistiques plurivalentes,1,0.0033581838941500438,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Philosophie, éthique et théologie",1,0.0033581838941500438,0.0
"Finances, banque, assurances","Productions végétales,cultures spécialisées",1,0.0033581838941500438,0.0
Linguistique,Techniques de l'imprimerie et de l'édition,1,0.0033581838941500438,0.0
"Mathématiques, statistiques",Moteurs et mécanique auto,1,0.0033581838941500438,0.0
"Animation culturelle, sportive et de loisirs","Matériaux de construction, verre, céramique",1,0.0033581838941500438,0.0
"Mécanique générale et de précision, usinage",Sciences de la vie,1,0.0033581838941500438,0.0
Application des droits et statuts des personnes,"Nettoyage, assainissement, protection de l'environnement",1,0.0033581838941500438,0.0
Développement des capacités mentales et apprentissages de base,"Nettoyage, assainissement, protection de l'environnement",1,0.0033581838941500438,0.0
"Enseignement, formation","Matériaux de construction, verre, céramique",1,0.0033581838941500438,0.0
"Matériaux de construction, verre, céramique","Spécialités pluridisciplinaires, sciences humaines et droit",1,0.0033581838941500438,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Structures métalliques,1,0.0033581838941500438,0.0
Economie,"Techniques de l'image et du son, métiers connexes du spectacle",1,0.0033581838941500438,0.0
Spécialités pluriscientifiques,"Spécialités pluritechnologiques, matériaux souples",1,0.0033581838941500438,0.0
Bâtiment: finitions,Economie,1,0.0033581838941500438,0.0
Développement des capacités mentales et apprentissages de base,Technologies de commandes des transformations industrielles,1,0.0033581838941500438,0.0
"Nettoyage, assainissement, protection de l'environnement",Technologies de commandes des transformations industrielles,1,0.0033581838941500438,0.0
"Enseignement, formation",Technologies de commandes des transformations industrielles,1,0.0033581838941500438,0.0
Chimie,Santé,1,0.0033581838941500438,0.0
"Energie, génie climatique","Techniques de l'image et du son, métiers connexes du spectacle",1,0.0033581838941500438,0.0
Application des droits et statuts des personnes,Linguistique,1,0.0033581838941500438,0.0
Bâtiment: finitions,Spécialités plurivalentes des services,1,0.0033581838941500438,0.0
Développement des capacités individuelles d'organisation,Techniques de l'imprimerie et de l'édition,1,0.0033581838941500438,0.0
Spécialités concernant plusieurs capacités,Travail du bois et de l'ameublement,1,0.0033581838941500438,0.0
Développement des capacités individuelles d'organisation,"Productions végétales,cultures spécialisées",1,0.0033581838941500438,0.0
Bâtiment: finitions,Sciences naturelles (Biologie-Géologie),1,0.0033581838941500438,0.0
Géographie,"Secrétariat, bureautique",1,0.0033581838941500438,0.0
"Droit, sciences politiques",Spécialités militaires,1,0.0033581838941500438,0.0
Spécialités concernant plusieurs capacités,Spécialités militaires,1,0.0033581838941500438,0.0
Langues et civilisations anciennes,Pratiques sportives,1,0.0033581838941500438,0.0
Langues et civilisations anciennes,Sciences de la vie,1,0.0033581838941500438,0.0
Sciences de la terre,"Secrétariat, bureautique",1,0.0033581838941500438,0.0
"Animation culturelle, sportive et de loisirs","Spécialités pluritechnologiques, matériaux souples",1,0.0033581838941500438,0.0
Mécanique aéronautique et spatiale,Physique-chimie,1,0.0033581838941500438,0.0
Chimie,"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",1,0.0033581838941500438,0.0
Formations générales,Spécialités militaires,1,0.0033581838941500438,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Matériaux de construction, verre, céramique",1,0.0033581838941500438,0.0
"Matériaux de construction, verre, céramique",Travail social,1,0.0033581838941500438,0.0
"Droit, sciences politiques",Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,0.0
"Plasturgie, matériaux composites","Spécialités pluritechnologiques, matériaux souples",1,0.0033581838941500438,0.0
Développement des capacités individuelles d'organisation,Structures métalliques,1,0.0033581838941500438,0.0
Bâtiment: finitions,Développement des capacités individuelles d'organisation,1,0.0033581838941500438,0.0
"Forêts, espaces naturels, faune sauvage, pêche",Spécialités plurivalentes de la communication,1,0.0033581838941500438,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Jeux et activités spécifiques de loisirs,1,0.0033581838941500438,0.0
"Matériaux de construction, verre, céramique",Textile,1,0.0033581838941500438,0.0
"Habillement (y compris mode, couture)",Techniques de l'imprimerie et de l'édition,1,0.0033581838941500438,0.0
"Agro-alimentaire, alimentation, cuisine",Application des droits et statuts des personnes,1,0.0033581838941500438,0.0
Bâtiment: construction et couverture,"Sciences sociales (y compris démographie, anthropologie)",1,0.0033581838941500438,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Géographie,1,0.0033581838941500438,0.0
"Accueil, hôtellerie, tourisme",Langues et civilisations anciennes,1,0.0033581838941500438,0.0
Journalisme et communication,Langues et civilisations anciennes,1,0.0033581838941500438,0.0
Jeux et activités spécifiques de loisirs,Spécialités plurivalentes de la communication,1,0.0033581838941500438,0.0
Développement des capacités mentales et apprentissages de base,Spécialités plurivalentes des services à la collectivité,1,0.0033581838941500438,0.0
"Animation culturelle, sportive et de loisirs","Chimie-biologie, biochimie",1,0.0033581838941500438,0.0
Santé,"Spécialités plutitechnologiques, mécanique-électricité",1,0.0033581838941500438,0.0
"Accueil, hôtellerie, tourisme","Vie familiale, vie sociale et autres formations au développement personnel",1,0.0033581838941500438,0.0
"Aménagement du territoire, développement, urbanisme",Spécialités concernant plusieurs capacités,1,0.0033581838941500438,0.0
"Forêts, espaces naturels, faune sauvage, pêche","Français, littérature et civilisation françaises",1,0.0033581838941500438,0.0
Géographie,Spécialités pluriscientifiques,1,0.0033581838941500438,0.0
Développement des capacités mentales et apprentissages de base,Economie,1,0.0033581838941500438,0.0
"Sciences sociales (y compris démographie, anthropologie)",Textile,1,0.0033581838941500438,0.0
"Français, littérature et civilisation françaises",Spécialités pluriscientifiques,1,0.0033581838941500438,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Jeux et activités spécifiques de loisirs,1,0.0033581838941500438,0.0
Economie et activités domestiques,"Vie familiale, vie sociale et autres formations au développement personnel",1,0.0033581838941500438,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Spécialités plutitechnologiques, mécanique-électricité",1,0.0033581838941500438,0.0
Economie,Spécialités plurivalentes sanitaires et sociales,1,0.0033581838941500438,0.0
"Chimie-biologie, biochimie",Textile,1,0.0033581838941500438,0.0
Pratiques sportives,"Sciences sociales (y compris démographie, anthropologie)",1,0.0033581838941500438,0.0
"Documentation, bibliothèques, administration des données","Français, littérature et civilisation françaises",1,0.0033581838941500438,0.0
"Spécialités pluridisciplinaires, sciences humaines et droit","Spécialités pluritechnologiques, matériaux souples",1,0.0033581838941500438,0.0
Histoire,Sciences naturelles (Biologie-Géologie),1,0.0033581838941500438,0.0
Histoire,Spécialités plurivalentes de l'agronomie et de l'agriculture,1,0.0033581838941500438,0.0
Développement des capacités mentales et apprentissages de base,Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,0.0
"Philosophie, éthique et théologie",Spécialités concernant plusieurs capacités,1,0.0033581838941500438,0.0
Histoire,Textile,1,0.0033581838941500438,0.0
Spécialités plurivalentes des services,"Vie familiale, vie sociale et autres formations au développement personnel",1,0.0033581838941500438,0.0
"Musique, arts du spectacle",Sciences de la vie,1,0.0033581838941500438,0.0
"Informatique, traitement de l'information, réseaux de transmission des données","Philosophie, éthique et théologie",1,0.0033581838941500438,0.0
Spécialités littéraires et artistiques plurivalentes,Travail du bois et de l'ameublement,1,0.0033581838941500438,0.0
Chimie,"Informatique, traitement de l'information, réseaux de transmission des données",1,0.0033581838941500438,0.0
"Aménagement du territoire, développement, urbanisme","Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",1,0.0033581838941500438,0.0
"Aménagement paysager (parcs, jardins, espaces verts)",Economie,1,0.0033581838941500438,0.0
"Documentation, bibliothèques, administration des données",Spécialités pluriscientifiques,1,0.0033581838941500438,0.0
"Comptabilité, gestion",Travail du bois et de l'ameublement,1,0.0033581838941500438,0.0
"Documentation, bibliothèques, administration des données","Energie, génie climatique",1,0.0033581838941500438,0.0
"Finances, banque, assurances",Histoire,1,0.0033581838941500438,0.0
"Documentation, bibliothèques, administration des données",Spécialités concernant plusieurs capacités,1,0.0033581838941500438,0.0
Pratiques sportives,"Spécialités pluritechnologiques, génie civil, construction, bois",1,0.0033581838941500438,0.0
"Aménagement du territoire, développement, urbanisme","Vie familiale, vie sociale et autres formations au développement personnel",1,0.0033581838941500438,0.0
"Mathématiques, statistiques",Spécialités littéraires et artistiques plurivalentes,1,0.0033581838941500438,0.0
Linguistique,"Philosophie, éthique et théologie",1,0.0033581838941500438,0.0
"Mathématiques, statistiques","Transport, manutention, magasinage",1,0.0033581838941500438,0.0
Histoire,Spécialités plurivalentes de la communication,1,0.0033581838941500438,0.0
"Commerce, vente",Sciences naturelles (Biologie-Géologie),1,0.0033581838941500438,0.0
Sciences naturelles (Biologie-Géologie),Spécialités plurivalentes des échanges et de la gestion,1,0.0033581838941500438,0.0
Développement des capacités individuelles d'organisation,Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,0.0
Formations générales,Travail du bois et de l'ameublement,1,0.0033581838941500438,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Productions végétales,cultures spécialisées",1,0.0033581838941500438,0.0
Pratiques sportives,Spécialités plurivalentes des services à la collectivité,1,0.0033581838941500438,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Spécialités pluridisciplinaires, sciences humaines et droit",1,0.0033581838941500438,0.0
"Papier, carton",Travail du bois et de l'ameublement,1,0.0033581838941500438,0.0
Bâtiment: finitions,Psychologie,1,0.0033581838941500438,0.0
"Chimie-biologie, biochimie","Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",1,0.0033581838941500438,0.0
"Droit, sciences politiques",Textile,1,0.0033581838941500438,0.0
"Aménagement du territoire, développement, urbanisme","Animation culturelle, sportive et de loisirs",1,0.0033581838941500438,0.0
Arts plastiques,Développement des capacités individuelles d'organisation,1,0.0033581838941500438,0.0
Développement des capacités individuelles d'organisation,"Mécanique générale et de précision, usinage",1,0.0033581838941500438,0.0
"Informatique, traitement de l'information, réseaux de transmission des données","Matériaux de construction, verre, céramique",1,0.0033581838941500438,0.0
Physique-chimie,"Transport, manutention, magasinage",1,0.0033581838941500438,0.0
"Electricité, électronique (non compris automatisme et productique)","Vie familiale, vie sociale et autres formations au développement personnel",1,0.0033581838941500438,0.0
Santé,Spécialités pluritechnologiques des transformations,1,0.0033581838941500438,0.0
"Secrétariat, bureautique",Spécialités pluritechnologiques des transformations,1,0.0033581838941500438,0.0
"Mines et carrières, génie civil, topographie","Techniques de l'image et du son, métiers connexes du spectacle",1,0.0033581838941500438,0.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",Spécialités plurivalentes de la communication,1,0.0033581838941500438,0.0
Spécialités pluriscientifiques,Spécialités plurivalentes des services à la collectivité,1,0.0033581838941500438,0.0
Développement des capacités individuelles d'organisation,"Mathématiques, statistiques",1,0.0033581838941500438,0.0
Jeux et activités spécifiques de loisirs,"Mathématiques, statistiques",1,0.0033581838941500438,0.0
"Aménagement paysager (parcs, jardins, espaces verts)",Spécialités plurivalentes des services à la collectivité,1,0.0033581838941500438,0.0
"Philosophie, éthique et théologie",Spécialités littéraires et artistiques plurivalentes,1,0.0033581838941500438,0.0
"Agro-alimentaire, alimentation, cuisine","Plasturgie, matériaux composites",1,0.0033581838941500438,0.0
Application des droits et statuts des personnes,"Langues vivantes, civilisations étrangères et régionales",1,0.0033581838941500438,0.0
"Nettoyage, assainissement, protection de l'environnement",Psychologie,1,0.0033581838941500438,0.0
Autres...,Spécialités pluritechnologiques des transformations,1,0.0033581838941500438,0.0
"Informatique, traitement de l'information, réseaux de transmission des données",Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,0.0
Sciences de la terre,"Transport, manutention, magasinage",1,0.0033581838941500438,0.0
Mécanique aéronautique et spatiale,"Sécurité des biens et des personnes, police, surveillance",1,0.0033581838941500438,0.0
"Sécurité des biens et des personnes, police, surveillance",Textile,1,0.0033581838941500438,680.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)","Spécialités pluridisciplinaires, sciences humaines et droit",1,0.0033581838941500438,24.0
"Spécialités pluridisciplinaires, sciences humaines et droit",Structures métalliques,1,0.0033581838941500438,29.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)","Philosophie, éthique et théologie",1,0.0033581838941500438,0.0
"Philosophie, éthique et théologie",Travail du bois et de l'ameublement,1,0.0033581838941500438,0.0
"Aménagement paysager (parcs, jardins, espaces verts)",Spécialités littéraires et artistiques plurivalentes,1,0.0033581838941500438,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Habillement (y compris mode, couture)",1,0.0033581838941500438,160.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Langues et civilisations anciennes,1,0.0033581838941500438,0.0
"Philosophie, éthique et théologie","Productions végétales,cultures spécialisées",1,0.0033581838941500438,0.0
Bâtiment: construction et couverture,Histoire,1,0.0033581838941500438,9.0
Histoire,"Nettoyage, assainissement, protection de l'environnement",1,0.0033581838941500438,9.0
"Accueil, hôtellerie, tourisme","Spécialités pluridisciplinaires, sciences humaines et droit",1,0.0033581838941500438,16.0
Transformations chimiques et apparentées (y compris pharmaceutiques),"Vie familiale, vie sociale et autres formations au développement personnel",1,0.0033581838941500438,13.0
Spécialités concernant plusieurs capacités,Textile,1,0.0033581838941500438,0.0
"Forêts, espaces naturels, faune sauvage, pêche","Nettoyage, assainissement, protection de l'environnement",1,0.0033581838941500438,315.0
"Techniques de l'image et du son, métiers connexes du spectacle",Travail social,1,0.0033581838941500438,24.0
Technologies industrielles fondamentales,Travail social,1,0.0033581838941500438,491.0
"Matériaux de construction, verre, céramique","Secrétariat, bureautique",1,0.0033581838941500438,0.0
Linguistique,Spécialités concernant plusieurs capacités,1,0.0033581838941500438,136.0
Développement des capacités comportementales et relationnelles,Histoire,1,0.0033581838941500438,526.0
Développement des capacités individuelles d'organisation,Histoire,1,0.0033581838941500438,526.0
"Accueil, hôtellerie, tourisme","Sciences sociales (y compris démographie, anthropologie)",1,0.0033581838941500438,332.0
"Habillement (y compris mode, couture)",Spécialités concernant plusieurs capacités,1,0.0033581838941500438,73.0
"Sécurité des biens et des personnes, police, surveillance",Travail du bois et de l'ameublement,1,0.0033581838941500438,94.0
Spécialités militaires,Spécialités plurivalentes sanitaires et sociales,1,0.0033581838941500438,255.0
"Mines et carrières, génie civil, topographie",Mécanique aéronautique et spatiale,1,0.0033581838941500438,75.0
Arts plastiques,Sciences de la terre,1,0.0033581838941500438,9.0
"Droit, sciences politiques","Forêts, espaces naturels, faune sauvage, pêche",1,0.0033581838941500438,229.0
"Techniques de l'image et du son, métiers connexes du spectacle",Travail du bois et de l'ameublement,1,0.0033581838941500438,66.0
"Aménagement paysager (parcs, jardins, espaces verts)","Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",1,0.0033581838941500438,326.0
"Comptabilité, gestion","Papier, carton",1,0.0033581838941500438,207.0
"Animation culturelle, sportive et de loisirs",Travail du bois et de l'ameublement,1,0.0033581838941500438,30.0
Langues et civilisations anciennes,Spécialités plurivalentes des services à la collectivité,1,0.0033581838941500438,214.0
Jeux et activités spécifiques de loisirs,Spécialités plurivalentes sanitaires et sociales,1,0.0033581838941500438,195.0
Sciences naturelles (Biologie-Géologie),"Techniques de l'image et du son, métiers connexes du spectacle",1,0.0033581838941500438,43.0
"Energie, génie climatique",Géographie,1,0.0033581838941500438,0.0
"Animation culturelle, sportive et de loisirs",Application des droits et statuts des personnes,1,0.0033581838941500438,0.0
Physique-chimie,Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,85.0
Santé,Textile,1,0.0033581838941500438,124.0
"Papier, carton",Psychologie,1,0.0033581838941500438,103.0
"Papier, carton",Textile,1,0.0033581838941500438,103.0
Psychologie,Textile,1,0.0033581838941500438,103.0
Bâtiment: construction et couverture,Journalisme et communication,1,0.0033581838941500438,29.0
"Informatique, traitement de l'information, réseaux de transmission des données","Papier, carton",1,0.0033581838941500438,0.0
Spécialités plurivalentes des échanges et de la gestion,Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,0.0
"Mécanique générale et de précision, usinage",Spécialités concernant plusieurs capacités,1,0.0033581838941500438,81.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",Spécialités concernant plusieurs capacités,1,0.0033581838941500438,81.0
"Matériaux de construction, verre, céramique","Mines et carrières, génie civil, topographie",1,0.0033581838941500438,369.0
"Accueil, hôtellerie, tourisme",Techniques de l'imprimerie et de l'édition,1,0.0033581838941500438,0.0
Protection et développement du patrimoine,Santé,1,0.0033581838941500438,50.0
"Plasturgie, matériaux composites",Spécialités plurivalentes des échanges et de la gestion,1,0.0033581838941500438,0.0
Spécialités plurivalentes sanitaires et sociales,Techniques de l'imprimerie et de l'édition,1,0.0033581838941500438,0.0
"Electricité, électronique (non compris automatisme et productique)",Journalisme et communication,1,0.0033581838941500438,112.0
"Aménagement du territoire, développement, urbanisme","Spécialités pluridisciplinaires, sciences humaines et droit",1,0.0033581838941500438,69.0
"Aménagement paysager (parcs, jardins, espaces verts)","Vie familiale, vie sociale et autres formations au développement personnel",1,0.0033581838941500438,207.0
"Forêts, espaces naturels, faune sauvage, pêche",Pratiques sportives,1,0.0033581838941500438,99.0
"Aménagement du territoire, développement, urbanisme","Langues vivantes, civilisations étrangères et régionales",1,0.0033581838941500438,127.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Productions animales, élevage spécialisé, aquaculture, ...",1,0.0033581838941500438,5.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Psychologie,1,0.0033581838941500438,723.0
"Matériaux de construction, verre, céramique","Techniques de l'image et du son, métiers connexes du spectacle",1,0.0033581838941500438,0.0
"Nettoyage, assainissement, protection de l'environnement",Spécialités plurivalentes de la communication,1,0.0033581838941500438,1033.0
"Papier, carton","Spécialités pluridisciplinaires, sciences humaines et droit",1,0.0033581838941500438,0.0
"Accueil, hôtellerie, tourisme","Energie, génie climatique",1,0.0033581838941500438,577.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Sciences naturelles (Biologie-Géologie),1,0.0033581838941500438,131.0
"Chimie-biologie, biochimie","Plasturgie, matériaux composites",1,0.0033581838941500438,42.0
Jeux et activités spécifiques de loisirs,"Ressources humaines, gestion du personnel, gestion de l'emploi",1,0.0033581838941500438,154.0
"Mathématiques, statistiques",Textile,1,0.0033581838941500438,170.0
"Nettoyage, assainissement, protection de l'environnement","Techniques de l'image et du son, métiers connexes du spectacle",1,0.0033581838941500438,151.0
Linguistique,Structures métalliques,1,0.0033581838941500438,0.0
"Documentation, bibliothèques, administration des données",Psychologie,1,0.0033581838941500438,200.0
"Chimie-biologie, biochimie","Comptabilité, gestion",1,0.0033581838941500438,164.0
Chimie,Spécialités plurivalentes des échanges et de la gestion,1,0.0033581838941500438,713.0
"Agro-alimentaire, alimentation, cuisine",Jeux et activités spécifiques de loisirs,1,0.0033581838941500438,0.0
Bâtiment: construction et couverture,Psychologie,1,0.0033581838941500438,81.0
Bâtiment: construction et couverture,"Papier, carton",1,0.0033581838941500438,312.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)","Papier, carton",1,0.0033581838941500438,312.0
Arts plastiques,Développement des capacités mentales et apprentissages de base,1,0.0033581838941500438,0.0
Economie,Spécialités pluritechnologiques des transformations,1,0.0033581838941500438,0.0
"Spécialités pluridisciplinaires, sciences humaines et droit","Spécialités plutitechnologiques, mécanique-électricité",1,0.0033581838941500438,551.0
"Aménagement paysager (parcs, jardins, espaces verts)",Arts plastiques,1,0.0033581838941500438,278.0
"Langues vivantes, civilisations étrangères et régionales",Protection et développement du patrimoine,1,0.0033581838941500438,0.0
Arts plastiques,"Productions végétales,cultures spécialisées",1,0.0033581838941500438,202.0
"Productions végétales,cultures spécialisées",Textile,1,0.0033581838941500438,202.0
"Energie, génie climatique",Textile,1,0.0033581838941500438,105.0
"Productions végétales,cultures spécialisées",Travail social,1,0.0033581838941500438,61.0
Développement des capacités individuelles d'organisation,Spécialités littéraires et artistiques plurivalentes,1,0.0033581838941500438,51.0
Développement des capacités individuelles d'organisation,Spécialités pluritechnologiques des transformations,1,0.0033581838941500438,91.0
"Spécialités pluritechnologiques, génie civil, construction, bois",Structures métalliques,1,0.0033581838941500438,0.0
"Aménagement du territoire, développement, urbanisme","Electricité, électronique (non compris automatisme et productique)",1,0.0033581838941500438,250.0
Bâtiment: finitions,Pratiques sportives,1,0.0033581838941500438,146.0
Géographie,"Langues vivantes, civilisations étrangères et régionales",1,0.0033581838941500438,3248.0
Géographie,Technologies industrielles fondamentales,1,0.0033581838941500438,3248.0
"Electricité, électronique (non compris automatisme et productique)",Pratiques sportives,1,0.0033581838941500438,733.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Moteurs et mécanique auto,1,0.0033581838941500438,9.0
Moteurs et mécanique auto,"Sciences sociales (y compris démographie, anthropologie)",1,0.0033581838941500438,9.0
"Comptabilité, gestion",Spécialités pluritechnologiques des transformations,1,0.0033581838941500438,21.0
"Mines et carrières, génie civil, topographie",Spécialités plurivalentes des services à la collectivité,1,0.0033581838941500438,112.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Sciences sociales (y compris démographie, anthropologie)",1,0.0033581838941500438,115.0
"Enseignement, formation",Histoire,1,0.0033581838941500438,151.0
Mécanique aéronautique et spatiale,Transformations chimiques et apparentées (y compris pharmaceutiques),1,0.0033581838941500438,156.0
"Philosophie, éthique et théologie","Spécialités pluritechnologiques, génie civil, construction, bois",1,0.0033581838941500438,124.0
"Français, littérature et civilisation françaises","Productions végétales,cultures spécialisées",1,0.0033581838941500438,504.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Spécialités pluritechnologiques, génie civil, construction, bois",1,0.0033581838941500438,140.0
"Spécialités plutitechnologiques, mécanique-électricité",Travail du bois et de l'ameublement,1,0.0033581838941500438,47.0
"Français, littérature et civilisation françaises","Productions animales, élevage spécialisé, aquaculture, ...",1,0.0033581838941500438,109.0
"Chimie-biologie, biochimie","Ressources humaines, gestion du personnel, gestion de l'emploi",1,0.0033581838941500438,442.0
Linguistique,Spécialités pluritechnologiques des transformations,1,0.0033581838941500438,167.0
"Commerce, vente",Structures métalliques,1,0.0033581838941500438,251.0
"Français, littérature et civilisation françaises",Spécialités plurivalentes des services,1,0.0033581838941500438,0.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",Spécialités pluriscientifiques,1,0.0033581838941500438,983.0
Jeux et activités spécifiques de loisirs,"Transport, manutention, magasinage",1,0.0033581838941500438,341.0
Physique-chimie,"Spécialités pluritechnologiques, génie civil, construction, bois",1,0.0033581838941500438,390.0
"Matériaux de construction, verre, céramique",Spécialités plurivalentes de l'agronomie et de l'agriculture,1,0.0033581838941500438,99.0
